simulation,zscore_entry_threshold,zscore_exit_threshold,base_position_pct,lookback,total_return_pct,sharpe_ratio,max_drawdown_pct,total_trades,win_rate
1,2.0667686746394485,0.6179776839909323,0.017853141209972674,25,0.0,0.0,0.0,0,0.0
2,1.7145494024257595,0.3899267117570663,0.04219159241896914,15,0.0,0.0,0.0,0,0.0
3,1.7070567574190925,0.46806226883057817,0.049384477452805234,20,0.0,0.0,0.0,0,0.0
4,1.7053361401840859,0.6806357479959401,0.027443189174895508,20,0.0,0.0,0.0,0,0.0
5,2.274470990110759,0.4646221752446369,0.017239318763651926,15,0.0,0.0,0.0,0,0.0
6,1.832664489139865,0.5169375350206373,0.03985423460599956,25,0.0,0.0,0.0,0,0.0
7,2.157694983416921,0.6039242302253547,0.016739828410534514,20,0.0,0.0,0.0,0,0.0
8,2.383728857644183,0.6822856791895147,0.017105878490607362,20,0.0,0.0,0.0,0,0.0
9,1.5152804522222678,0.46988861830066353,0.021602537905451875,15,0.0,0.0,0.0,0,0.0
10,1.6840253467166981,0.670171582524254,0.013415589726021583,25,0.0,0.0,0.0,0,0.0
11,2.0820221901157137,0.3689271891527017,0.03292280139700916,25,0.0,0.0,0.0,0,0.0
12,2.363255018149741,0.6832989014122354,0.02900656609132914,15,0.0,0.0,0.0,0,0.0
13,2.2345060058986714,0.6087226120588318,0.01845644492894812,15,0.0,0.0,0.0,0,0.0
14,2.3714402637451912,0.42964892303947133,0.0267706536945593,15,0.0,0.0,0.0,0,0.0
15,2.3603484697701465,0.45942035979933715,0.011108097832369218,30,0.0,0.0,0.0,0,0.0
16,1.8505165409295763,0.528947541793588,0.035475047316304416,30,0.0,0.0,0.0,0,0.0
17,2.1660730339755405,0.6582692620690426,0.02428447836970654,20,0.0,0.0,0.0,0,0.0
18,1.8373612042211076,0.4850697831181295,0.03206179584124995,20,0.0,0.0,0.0,0,0.0
19,2.347091716864582,0.5742346749469216,0.025817911729466493,30,0.0,0.0,0.0,0,0.0
20,2.211883746289227,0.6180443474640749,0.02673285428186377,20,0.0,0.0,0.0,0,0.0
